Тема;Тема_с_описанием;Категория;
уствновка 1c;уствновка 1c. у Новожиловой был заменен комп. на новом компе нет 1с. имя нового компа DST00872;-Установка Программного обеспечения(Установить программное обеспечение)
Проблема с AutoCAD;Проблема с AutoCAD. Помогите пожалуйста решить проблему. При запуске программы выдает ошибку и закрывает файл            * *С уважением**  * *Ведущий инженер Отдела №3**  * *ГБУ «Мосгоргеотрест»**  * *Матвеев М.Ю.**;-Другие запросы
Сотрудники;Сотрудники. По регистрации в str.mos.ru работников отдела №11 в списках так же отсутствуют: Кадыков А.С. Козлов П.И. Дюканов А.И.   С уважением  Заместитель начальника отдела №11  Колосовский А.Э.  _ _ +7 (499) 257 09 11 доб. 21-54 23-34__;-Получить, восстановить доступ в МОСЭДО(Московский электронный документооборот)
пароль для входа в БД;пароль для входа в БД. Заблокировался вход в БД. Не знаю какой пароль. Телефон Дарья;-Доступ к ИС(информационной системе).Доступ к БД Oracle(Базе данных Oracle), в АС Договор, АС Архив, АС Кадры и так далее. АС(Автоматизированная система)
